Wait,RT
1036,266
1068,250
1665,202
1437,286
1205,282
1170,257
1922,228
1676,246
1983,227
1596,267
1955,251
1756,275
1861,238
1725,229
1011,354
1022,337
1755,387
1717,273
1520,283
1751,248
1895,244
1784,267
1417,277
1053,290
1220,274
1439,269
1301,374
1286,247
1796,215
1363,252
1522,245
1415,259
1107,308
1581,250
1638,248
1910,241
1889,241
1940,250
1693,261
1854,253
1688,247
1137,332
1507,273
1946,151
1184,300
1285,256
1498,274
1036,306
1852,244
1923,232
