at	61209.620
et	55718.660
as	39993.750
ue	34961.430
ls	30036.020
ie	29669.300
ne	27765.710
os	27606.340
ae	27105.010
ot	26868.040
in	26135.000
or	25392.080
mn	23171.730
le	22485.190
rs	22248.960
ri	21987.500
te	21710.640
pr	20638.970
pu	20379.820
re	20328.190
ds	18084.350
sn	17804.900
si	17361.620
us	17141.430
el	16881.900
sr	16843.270
aa	16792.970
es	16673.010
is	16358.450
vi	15988.560
qe	15838.340
er	15667.870
ti	15597.660
dn	14631.150
se	14592.020
ps	14546.760
rn	14409.500
mi	14390.020
li	14268.140
ni	14058.180
ai	13976.730
ea	13484.770
ce	13415.700
éa	13409.680
tu	12820.980
tn	12790.610
ar	12281.320
me	12202.440
nr	12106.040
ee	11732.350
tr	11727.600
cn	11480.630
ia	11463.850
oe	11278.390
ii	11016.610
to	10935.460
il	10934.050
ad	10919.910
be	10872.550
iu	10867.630
na	10823.230
su	10675.670
nu	10600.260
al	10376.570
mr	10190.720
pi	10046.070
ir	9771.200
èe	9640.110
cm	9578.990
om	9507.320
qi	9434.250
on	9341.190
ca	9335.470
an	9123.690
it	9072.140
pe	9017.850
fi	8955.010
ac	8826.480
ru	8705.720
ui	8677.280
ra	8675.040
ns	8644.270
vn	8596.150
ei	8589.470
rt	8475.400
ms	8472.050
cu	8237.470
ln	8170.600
ua	8051.850
ur	8011.280
sa	7982.190
ss	7548.220
ts	7502.940
ec	7479.810
cr	7451.950
éi	7421.020
ed	7373.050
ao	7315.840
eu	7279.390
ut	7246.350
lu	7243.450
ex	7022.470
ul	6762.920
ov	6626.790
ta	6606.450
oi	6550.860
ml	6548.740
od	6518.040
vr	6348.890
vu	6294.620
op	6212.170
ié	6118.570
nt	6112.540
rp	6021.430
rc	5968.070
tt	5915.240
ci	5874.950
lr	5872.630
cl	5855.390
ep	5766.160
ge	5736.870
po	5726.420
ve	5720.930
lt	5703.750
éo	5662.960
êe	5439.250
en	5407.890
ée	5395.890
rm	5372.100
tm	5343.380
fr	5340.720
cs	5297.560
ct	5286.100
no	5263.500
ju	5246.450
mt	5169.060
dr	5152.610
rv	5147.020
ga	5054.010
gr	5033.230
eo	5008.750
de	4917.140
oc	4916.700
vc	4854.260
ol	4767.250
co	4740.540
fn	4734.770
dt	4730.620
rr	4728.470
oa	4670.780
pn	4625.460
ap	4574.100
pt	4406.350
ag	4352.910
un	4341.170
lm	4278.750
nn	4232.220
hr	4211.620
pa	4159.730
mm	4140.170
ro	4021.780
né	3993.800
so	3992.220
sm	3949.080
éé	3807.870
au	3775.070
bu	3725.760
ba	3712.500
hs	3707.390
rg	3704.010
uo	3681.200
du	3672.210
sl	3644.380
og	3623.590
dm	3606.520
di	3559.770
ax	3496.560
tl	3483.330
io	3455.290
la	3436.470
gn	3423.160
am	3420.400
hm	3412.670
fu	3283.640
hu	3241.720
qa	3214.170
bi	3188.910
vl	3160.590
ré	3150.910
rl	3149.220
eq	3081.360
mu	3041.670
fa	3006.750
lc	2959.890
vs	2948.460
ef	2940.850
pé	2916.510
dv	2902.330
em	2852.030
bn	2795.320
ev	2778.770
ou	2757.680
hn	2709.680
nl	2687.530
ic	2658.620
ué	2639.210
fl	2637.090
ob	2603.420
bt	2545.680
ér	2533.180
br	2507.850
pl	2487.660
és	2484.900
uu	2423.070
êr	2418.920
eb	2413.910
gs	2397.470
ip	2396.410
sé	2385.190
dc	2366.500
oo	2365.320
fe	2322.860
lg	2273.260
nm	2261.250
éu	2239.990
pè	2220.690
vt	2219.620
ah	2190.190
of	2165.490
sc	2153.800
lv	2144.170
ma	2135.160
gi	2112.500
aé	2100.610
bl	2097.350
rf	2094.370
st	2083.280
ft	2023.350
im	2022.790
da	1995.100
cé	1979.270
oé	1954.490
cp	1949.650
ab	1935.080
go	1891.880
bs	1890.400
hi	1890.060
oh	1885.850
rd	1873.480
fm	1864.740
tc	1844.430
va	1816.910
sg	1748.530
rh	1728.640
id	1726.030
uh	1725.380
él	1718.650
dp	1709.760
tè	1708.960
fc	1704.720
af	1679.360
té	1581.180
mo	1572.270
pc	1523.310
lé	1520.470
nh	1503.370
rb	1471.010
ht	1462.610
jm	1457.740
aq	1444.380
éh	1396.370
u-	1392.270
sb	1388.460
if	1368.510
lq	1360.430
oj	1358.390
sv	1348.380
fo	1343.010
tb	1337.010
md	1328.570
eg	1325.100
fs	1295.060
uf	1267.910
eé	1232.120
ig	1228.630
yu	1195.700
qo	1187.600
lo	1179.000
ud	1171.680
tg	1168.790
ox	1155.540
gé	1153.130
dl	1142.480
tq	1134.150
cd	1129.530
âe	1091.720
df	1089.430
av	1083.230
do	1078.960
gu	1063.920
-e	1060.180
iq	1030.670
çi	1021.570
sp	1016.210
sè	1015.450
rè	994.350
lb	992.130
vy	965.290
he	964.940
aç	961.680
mg	946.890
fé	932.670
bo	918.880
çn	914.540
yi	912.340
hv	902.190
nc	899.980
yn	885.620
up	883.130
rq	880.690
uv	869.790
td	865.410
pg	861.390
gl	851.450
ôe	832.980
jt	828.430
um	827.480
 u	825.380
uq	815.570
dj	812.630
uc	805.920
py	794.820
mè	788.860
db	784.340
tê	782.170
mc	765.470
rî	763.250
hl	753.880
hb	749.230
tp	732.790
-t	728.660
hz	724.350
nè	719.370
èr	715.310
gt	707.860
éà	707.160
lp	706.460
ih	697.860
hq	686.110
sd	677.930
js	676.090
ry	670.840
dg	665.030
c 	653.030
îe	642.440
îr	637.930
vv	637.620
tf	631.980
mé	630.460
qé	628.880
cc	625.780
vd	622.570
sz	622.340
ji	620.990
ng	616.860
xl	606.720
vz	603.650
ôé	594.720
gg	590.490
