ent	32355.590
ait	31079.170
les	21611.610
ais	18577.510
lle	18384.780
our	17324.970
ant	16401.940
que	15838.340
ien	13986.140
des	13157.910
men	12209.500
tre	12076.080
ans	12021.890
ell	11789.810
tai	11735.120
une	11515.430
ous	11401.770
par	11329.090
est	11243.830
pas	11233.010
tou	10622.060
eur	10273.420
vai	10162.640
res	10071.420
dan	9956.600
pou	9697.040
mai	9689.280
qui	9434.250
rai	9134.380
ion	8950.320
out	8941.300
ava	8868.700
mme	8857.360
son	8795.400
ire	8582.130
com	8549.890
che	8323.290
éta	8147.920
ill	7980.210
omm	7921.830
ont	7804.530
eme	7720.850
con	7684.350
sse	7430.310
nte	7281.940
sur	7137.310
eux	7022.470
ons	6936.000
ère	6814.860
end	6472.510
aie	6432.390
ain	6337.750
cha	6264.550
tte	6261.320
tio	6103.200
ouv	5988.620
ave	5977.790
oir	5900.110
plu	5889.360
lai	5842.110
and	5838.490
onn	5758.010
cou	5747.330
fai	5683.430
sai	5657.710
ren	5633.690
ort	5605.130
ass	5595.320
lus	5566.110
ses	5556.740
ten	5527.390
urs	5504.570
ran	5387.800
aut	5374.670
tes	5368.490
ure	5290.270
ois	5225.870
ett	5220.700
ver	5198.440
iss	5191.250
lui	5100.630
nou	5073.420
nce	5026.210
ble	5022.660
ter	5007.800
mon	4992.120
air	4978.760
ser	4866.720
tra	4829.330
vou	4775.060
san	4764.570
ess	4723.440
voi	4690.260
enc	4678.530
ati	4562.050
sou	4517.380
ine	4513.860
ssi	4474.150
ers	4457.930
ier	4440.800
uis	4423.250
ins	4412.180
tro	4390.680
ssa	4384.630
ntr	4353.440
int	4241.780
pre	4199.950
age	4147.500
anc	4138.200
rie	4136.300
ven	4070.010
ens	4056.910
jou	4044.490
vec	4008.270
ard	3992.140
rou	3987.770
mes	3985.010
ute	3903.590
eau	3895.550
ite	3874.240
nne	3833.320
tan	3828.150
pro	3801.820
nai	3786.220
ieu	3767.950
moi	3758.590
dit	3691.430
uve	3687.820
peu	3684.850
all	3596.400
man	3559.320
leu	3531.540
ond	3477.350
ils	3457.420
iqu	3393.280
ces	3391.600
aux	3357.820
vie	3289.830
nde	3261.290
uel	3233.460
ule	3225.850
qua	3214.170
app	3213.670
emp	3213.380
art	3200.020
tem	3183.000
err	3172.110
isa	3121.400
uss	3052.280
bie	3051.350
dis	3031.940
dre	3029.040
ues	3017.100
sen	3017.000
roi	3016.860
nts	3008.510
rte	3005.270
oin	3005.140
lan	2992.840
ièr	2976.100
per	2972.220
ste	2969.140
eil	2954.130
don	2949.030
ris	2939.400
van	2938.580
ême	2921.980
cor	2905.950
ise	2904.470
cet	2874.960
pri	2867.070
rem	2840.810
por	2829.040
gar	2798.190
mêm	2796.950
ena	2790.620
oul	2775.700
lon	2744.030
ndr	2739.800
rès	2733.600
bou	2732.700
omp	2732.170
gra	2712.020
ang	2693.610
arr	2690.640
uit	2690.130
tit	2657.910
abl	2650.770
nti	2620.790
era	2620.540
nda	2616.640
ist	2586.190
ité	2572.970
utr	2554.760
att	2521.740
oup	2519.180
pla	2513.980
pen	2453.440
ler	2449.040
êtr	2416.490
use	2414.780
ura	2410.970
lla	2390.060
nta	2371.470
pré	2364.320
rti	2352.490
nco	2352.290
ign	2350.290
pui	2349.030
rit	2298.050
lem	2296.400
ées	2290.240
oit	2273.970
sui	2273.410
ale	2264.800
pos	2257.240
sem	2244.370
rre	2233.980
ail	2230.800
aus	2225.310
ert	2214.990
ret	2198.230
dev	2198.080
for	2189.190
dem	2185.040
rri	2170.150
deu	2169.530
nes	2165.870
mar	2165.440
lie	2159.480
ore	2145.050
eva	2138.630
bre	2098.240
sta	2066.030
gue	2060.930
ête	2056.310
eti	2054.750
ile	2028.210
cel	2020.260
ner	2000.260
uan	1976.870
ron	1976.590
emb	1974.620
non	1970.460
ema	1965.330
ide	1954.180
ose	1942.330
dai	1938.240
cho	1931.790
her	1928.420
der	1922.980
isi	1916.890
rta	1906.830
eut	1892.050
soi	1892.040
tie	1890.310
nge	1880.800
ras	1867.500
ein	1865.280
nna	1861.500
seu	1849.210
pet	1846.110
omb	1833.520
éri	1825.670
eus	1814.770
ama	1813.550
lit	1802.220
rés	1800.440
enf	1794.310
mps	1777.170
squ	1772.450
foi	1767.620
ime	1766.990
ouc	1765.230
vre	1757.720
min	1757.670
ong	1753.160
heu	1751.570
ord	1743.170
ors	1743.120
tur	1739.770
ive	1738.700
onc	1733.940
car	1732.930
emi	1730.950
imp	1726.040
tin	1722.220
avo	1712.870
sti	1712.320
fin	1699.290
sio	1691.800
nan	1684.200
bon	1681.410
eul	1662.180
gne	1660.460
toi	1660.080
