word	onset	duration
le	103.6	0.3
monde.	103.95	0.3
et	104.3	0.3
la	104.65	0.3
géographie,	105	0.3
c'est	105.35	0.3
exact,	105.7	0.3
m'a	106.05	0.3
beaucoup	106.4	0.3
servi.	106.75	0.3
je	107.1	0.3
savais	107.45	0.3
reconnaître,	107.8	0.3
du	108.15	0.3
premier	108.5	0.3
coup	108.85	0.3
d'oeil,	109.2	0.3
la	109.55	0.3
chine	109.9	0.3
de	110.25	0.3
l'arizona.	110.6	0.3
c'est	110.95	0.3
très	111.3	0.3
utile,	111.65	0.3
si	112	0.3
l'on	112.35	0.3
s'est	112.7	0.3
égaré	113.05	0.3
pendant	113.4	0.3
la	113.75	0.3
nuit.	114.1	0.3
j'ai	114.8	0.3
ainsi	115.15	0.3
eu,	115.5	0.3
au	115.85	0.3
cours	116.2	0.3
de	116.55	0.3
ma	116.9	0.3
vie,	117.25	0.3
des	117.6	0.3
tas	117.95	0.3
de	118.3	0.3
contacts	118.65	0.3
avec	119	0.3
des	119.35	0.3
tas	119.7	0.3
de	120.05	0.3
gens	120.4	0.3
sérieux.	120.75	0.3
j'ai	121.1	0.3
beaucoup	121.45	0.3
vécu	121.8	0.3
chez	122.15	0.3
les	122.5	0.3
grandes	122.85	0.3
personnes.	123.2	0.3
je	123.55	0.3
les	123.9	0.3
ai	124.25	0.3
vues	124.6	0.3
de	124.95	0.3
très	125.3	0.3
près.	125.65	0.3
ça	126	0.3
n'a	126.35	0.3
pas	126.7	0.3
trop	127.05	0.3
amélioré	127.4	0.3
mon	127.75	0.3
opinion.	128.1	0.3
quand	128.8	0.3
j'en	129.15	0.3
rencontrais	129.5	0.3
une	129.85	0.3
qui	130.2	0.3
me	130.55	0.3
paraissait	130.9	0.3
un	131.25	0.3
peu	131.6	0.3
lucide,	131.95	0.3
je	132.3	0.3
faisais	132.65	0.3
l'expérience	133	0.3
sur	133.35	0.3
elle	133.7	0.3
de	134.05	0.3
mon	134.4	0.3
dessin	134.75	0.3
numéro	135.1	0.3
1	135.45	0.3
que	135.8	0.3
j'ai	136.15	0.3
toujours	136.5	0.3
conservé	136.85	0.3
je	137.2	0.3
voulais	137.55	0.3
savoir	137.9	0.3
si	138.25	0.3
elle	138.6	0.3
était	138.95	0.3
vraiment	139.3	0.3
compréhensive.	139.65	0.3
mais	140	0.3
toujours	140.35	0.3
elle	140.7	0.3
me	141.05	0.3
répondait	141.4	0.3
:	141.75	0.3
"c'est	142.1	0.3
un	142.45	0.3
chapeau."	142.8	0.3
alors	143.15	0.3
je	143.5	0.3
ne	143.85	0.3
lui	144.2	0.3
parlais	144.55	0.3
ni	144.9	0.3
de	145.25	0.3
serpents	145.6	0.3
boas,	145.95	0.3
ni	146.3	0.3
de	146.65	0.3
forêts	147	0.3
vierges,	147.35	0.3
ni	147.7	0.3
d'étoiles.	148.05	0.3
je	148.4	0.3
me	148.75	0.3
mettais	149.1	0.3
à	149.45	0.3
sa	149.8	0.3
portée.	150.15	0.3
je	150.5	0.3
lui	150.85	0.3
parlais	151.2	0.3
de	151.55	0.3
bridge,	151.9	0.3
de	152.25	0.3
golf,	152.6	0.3
de	152.95	0.3
politique	153.3	0.3
et	153.65	0.3
de	154	0.3
cravates.	154.35	0.3
et	154.7	0.3
la	155.05	0.3
grande	155.4	0.3
personne	155.75	0.3
était	156.1	0.3
bien	156.45	0.3
contente	156.8	0.3
de	157.15	0.3
connaître	157.5	0.3
un	157.85	0.3
homme	158.2	0.3
aussi	158.55	0.3
raisonnable...	158.9	0.3
j'ai	159.95	0.3
ainsi	160.3	0.3
vécu	160.65	0.3
seul,	161	0.3
sans	161.35	0.3
personne	161.7	0.3
avec	162.05	0.3
qui	162.4	0.3
parler	162.75	0.3
véritablement,	163.1	0.3
jusqu'à	163.45	0.3
une	163.8	0.3
panne	164.15	0.3
dans	164.5	0.3
le	164.85	0.3
désert	165.2	0.3
du	165.55	0.3
sahara,	165.9	0.3
il	166.25	0.3
y	166.6	0.3
a	166.95	0.3
six	167.3	0.3
ans.	167.65	0.3
quelque	168	0.3
chose	168.35	0.3
s'était	168.7	0.3
cassé	169.05	0.3
dans	169.4	0.3
mon	169.75	0.3
moteur.	170.1	0.3
et	170.45	0.3
comme	170.8	0.3
je	171.15	0.3
n'avais	171.5	0.3
avec	171.85	0.3
moi	172.2	0.3
ni	172.55	0.3
mécanicien,	172.9	0.3
ni	173.25	0.3
passagers,	173.6	0.3
je	173.95	0.3
me	174.3	0.3
préparai	174.65	0.3
à	175	0.3
essayer	175.35	0.3
de	175.7	0.3
réussir,	176.05	0.3
tout	176.4	0.3
seul,	176.75	0.3
une	177.1	0.3
réparation	177.45	0.3
difficile.	177.8	0.3
c'était	178.15	0.3
pour	178.5	0.3
