,"word","duration","onset"
161,"intérieur",1.62000000000002,191.25
162,"du",0.164999999999978,192.87
163," ",0.16500000000002,193.035
164,"serpent",1.19999999999997,193.2
165,"boa",1.08,194.4
166,"afin",0.930000000000007,196.41
167,"que",0.329999999999998,197.34
168,"les",0.360000000000014,197.67
169,"grandes",0.75,198.03
170,"personnes",1.19999999999997,198.78
171,"puissent",0.659999999999997,199.98
172,"comprendre",1.92,200.64
173,"elles",1.04999999999998,204.42
174,"ont",0.570000000000036,205.47
175,"toujours",1.97999999999999,206.49
176,"besoin",1.08,208.47
177,"d'",0.180000000000007,209.55
178,"explications",2.06999999999999,209.73
179,"mon",0.659999999999997,214.29
180,"dessin",1.17,214.95
181,"numéro",1.43999999999997,216.12
182,2,0.810000000000031,217.56
183,"était",0.780000000000015,218.91
184,"comme",0.719999999999985,219.69
185,"ça",0.659999999999997,220.41
186,"les",0.569999999999993,225.33
187,"grandes",0.899999999999992,225.9
188,"personnes",1.35000000000001,226.8
189,"m'",0.0900000000000034,228.3
190,"ont",0.300000000000026,228.39
191,"conseillé",1.85999999999997,228.69
192,"de",0.570000000000036,230.55
193,"laisser",1.17,231.12
194,"de",0.389999999999986,232.29
195,"côté",1.35000000000001,232.68
196,"les",0.569999999999993,234.24
197,"dessins",1.26000000000001,234.81
198,"de",0.329999999999998,236.07
199,"serpents",1.41,236.4
200,"boas",1.17,237.81
201,"ouverts",1.55999999999999,239.4
202,"ou",0.119999999999976,241.29
203,"fermés",1.43999999999997,241.53
204,"et",0.180000000000007,243.96
205,"de",0.300000000000026,244.14
206,"m'",0.20999999999998,244.44
207,"intéresser",1.73999999999999,244.65
208,"plutôt",1.23000000000003,246.39
209,"à",0.269999999999968,247.62
210,"la",0.390000000000029,247.89
211,"géographie",2.36999999999998,248.28
212,"à",0.239999999999995,251.37
213,"l'",0.149999999999991,251.61
214,"histoire",1.77000000000001,251.76
215,"au",0.149999999999991,253.83
216," ",0.149999999999991,253.98
217,"calcul",1.98000000000003,254.13
218,"et",0.299999999999983,256.68
219,"à",0.210000000000022,256.98
220,"la",0.449999999999974,257.19
221,"grammaire",2.01000000000001,257.64
222,"c'",0.390000000000029,262.56
223,"est",0.569999999999993,262.95
224,"ainsi",1.22999999999999,263.52
225,"que",0.360000000000014,264.75
226,"j'",0.389999999999986,265.11
227,"ai",0.120000000000019,265.5
228,"abandonné",2.03999999999998,265.62
229,"à",0.360000000000014,268.26
230,"l'",0.239999999999995,268.62
231,"âge",0.75,268.86
232,"de",0.329999999999998,269.61
233,"six",1.31999999999999,269.94
234,"ans",0.510000000000005,271.26
235,"une",0.810000000000031,272.88
236,"magnifique",2.51999999999997,273.69
237,"carrière",1.11000000000001,276.33
238,"de",0.510000000000005,277.44
239,"peintre",1.25999999999996,277.95
240,"j'",0.450000000000017,281.22
241,"avais",0.810000000000031,281.88
242,"été",0.689999999999969,282.69
243,"découragé",2.79000000000002,283.38
244,"par",0.600000000000009,286.17
245,"l'",0.299999999999983,286.77
246,"insuccès",1.86000000000001,287.07
247,"de",0.329999999999998,288.93
248,"mon",0.510000000000005,289.26
249,"dessin",1.10999999999997,289.77
250,"numéro",1.5,290.88
251,1,0.720000000000027,292.38
252,"et",0.27000000000001,294.24
253,"de",0.420000000000002,294.51
254,"mon",0.47999999999999,294.93
255,"dessin",1.04999999999998,295.41
256,"numéro",1.41000000000004,296.46
257,2,0.569999999999993,298.08
258,"les",0.47999999999999,301.74
259,"grandes",0.870000000000019,302.22
260,"personnes",1.86000000000001,303.09
261,"ne",0.179999999999964,304.95
262,"comprennent",1.44000000000001,305.13
263,"jamais",1.47000000000003,306.57
264,"rien",0.689999999999969,308.04
265,"toutes",0.659999999999997,308.73
266,"seules",1.02000000000001,309.39
267,"et",0.150000000000034,311.55
268,"c'",0.359999999999971,311.7
269,"est",0.210000000000022,312.06
270,"fatigant",1.97999999999999,312.27
271,"pour",0.510000000000005,314.58
272,"les",0.719999999999985,315.09
273,"enfants",0.930000000000007,315.81
274,"de",0.569999999999993,317.91
275,"toujours",1.89000000000003,318.48
276,"et",0.389999999999986,320.37
277,"toujours",2.03999999999998,320.76
278,"leur",0.690000000000012,322.8
279,"donner",0.870000000000019,323.49
280,"des",0.599999999999966,324.36
281,"explications",2.22000000000003,324.96
282,"j'",0.360000000000014,330.51
283,"ai",0.359999999999971,330.87
284,"donc",0.630000000000024,331.23
285,"dû",0.299999999999983,331.86
286,"choisir",1.46999999999998,332.34
287,"un",0.569999999999993,333.81
288,"autre",0.840000000000003,334.38
289,"métier",1.32000000000004,335.22
290,"et",0.120000000000019,337.74
291,"j'",0.359999999999971,337.86
292,"ai",0.27000000000001,338.22
293,"appris",1.08,338.49
294,"à",0.239999999999995,339.57
295,"piloter",1.32000000000004,339.96
296,"des",0.629999999999981,341.28
297,"avions",1.02000000000001,341.91
298,"j'",0.27000000000001,345.93
299,"ai",0.449999999999974,346.2
300,"volé",0.930000000000007,346.65
301,"un",0.420000000000002,347.58
302,"peu",0.389999999999986,348
303,"partout",1.08,348.39
304,"dans",0.480000000000032,349.47
305,"le",0.299999999999983,349.95
306,"monde",1.26000000000001,350.25
307,"et",0.0900000000000034,353.01
308,"la",0.449999999999974,353.1
309,"géographie",2.61000000000001,353.55
310,"c'",0.360000000000014,356.16
311,"est",0.420000000000002,356.52
312,"exact",1.59,356.94
313,"m'",0.389999999999986,359.01
314,"a",0.180000000000007,359.4
315,"beaucoup",1.20000000000002,359.58
316,"servi",1.37999999999998,360.78
317,"je",0.390000000000029,363.96
318,"savais",1.10999999999997,364.35
319,"reconnaître",2.04000000000002,365.46
320,"du",0.225000000000009,367.5
321," ",0.225000000000009,367.725
322,"premier",1.67999999999996,367.95
323,"coup",0.540000000000021,369.63
324,"d'",0.149999999999991,370.17
325,"oeil",1.11000000000001,370.32
326,"la",0.389999999999986,372.09
327,"chine",1.41,372.48
328,"de",0.420000000000002,373.89
329,"l'",0.180000000000007,374.31
330,"arizona",1.83,374.49
331,"c'",0.360000000000014,377.94
332,"est",0.20999999999998,378.3
333,"très",1.20000000000002,378.51
334,"utile",1.38000000000002,379.71
335,"si",0.720000000000027,381.3
336,"l'",0.119999999999976,382.02
